prefecture,nb_agences,nb_momo,region,grand_lome,momo_par_agence,flag_zero_agence,priorite
Lacs,0,741,Maritime,False,741.0,1,1
Vo,0,476,Maritime,False,476.0,1,1
Wawa,0,244,Plateaux,False,244.0,1,1
Binah,0,212,Kara,False,212.0,1,1
Est-Mono,0,209,Plateaux,False,209.0,1,1
Amou,0,175,Plateaux,False,175.0,1,1
Tandjoaré,0,159,Savanes,False,159.0,1,1
Danyi,0,142,Plateaux,False,142.0,1,1
Kpendjal-Ouest,0,129,Savanes,False,129.0,1,1
Akébou,0,87,Plateaux,False,87.0,1,1
Kpendjal,0,41,Savanes,False,41.0,1,1
Mô,0,32,Centrale,False,32.0,1,1
Ogou,1,421,Plateaux,False,421.0,0,2
Oti,1,368,Savanes,False,368.0,0,2
Assoli,1,228,Kara,False,228.0,0,2
Agou,1,224,Plateaux,False,224.0,0,2
Dankpen,1,190,Kara,False,190.0,0,2
Doufelgou,1,184,Kara,False,184.0,0,2
Yoto,1,160,Maritime,False,160.0,0,2
Oti-Sud,1,159,Savanes,False,159.0,0,2
Moyen-Mono,1,81,Plateaux,False,81.0,0,2
Golfe,26,5121,Maritime,True,197.0,0,3
Kozah,2,1562,Kara,False,781.0,0,3
Tchaoudjo,4,1411,Centrale,False,352.8,0,3
Agoè-Nyivé,14,1398,Maritime,True,99.9,0,3
Tône,2,1280,Savanes,False,640.0,0,3
Zio,5,779,Maritime,False,155.8,0,3
Cinkassé,2,543,Savanes,False,271.5,0,3
Kloto,2,503,Plateaux,False,251.5,0,3
Haho,3,453,Plateaux,False,151.0,0,3
Bassar,3,436,Kara,False,145.3,0,3
Sotouboua,3,355,Centrale,False,118.3,0,3
Anié,2,285,Plateaux,False,142.5,0,3
Kpélé,2,255,Plateaux,False,127.5,0,3
Tchamba,2,205,Centrale,False,102.5,0,3
Bas-Mono,2,183,Maritime,False,91.5,0,3
Kéran,2,139,Kara,False,69.5,0,3
Avé,3,128,Maritime,False,42.7,0,3
Blitta,2,90,Centrale,False,45.0,0,3
