FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,operateur,geometry,lon,lat,operateur_clean,zone
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-2969,Savanes,Tône,Tône 4,Sanfatoute,"Moov, Togocom",POINT (0.3032083333333333 10.996651666666667),0.3032083333333333,10.996651666666667,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-2968,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",POINT (0.3600592001272428 10.717565088366083),0.3600592001272428,10.717565088366083,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-2967,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",POINT (0.231485 10.878860000000001),0.231485,10.878860000000001,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-2966,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",POINT (0.36035 10.717921666666665),0.36035,10.717921666666665,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-2965,Maritime,Golfe,Golfe 1,Bè-Est,Nsp,POINT (1.2845533333333332 6.171833333333333),1.2845533333333332,6.171833333333333,Inconnu,Grand Lomé
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-2964,Savanes,Tône,Tône 1,Toaga,Togocom,POINT (0.2489566666666667 10.885906666666665),0.2489566666666667,10.885906666666665,Togocom,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-2963,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",POINT (0.3603193341104241 10.718124249426852),0.3603193341104241,10.718124249426852,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-2962,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,Togocom,POINT (0.3601712447675913 10.718348622033448),0.3601712447675913,10.718348622033448,Togocom,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-2961,Savanes,Tône,Tône 1,Toaga,Togocom,POINT (0.2392606758149832 10.882063923216391),0.2392606758149832,10.882063923216391,Togocom,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-2960,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,"Moov, Togocom",POINT (0.1864104159983782 11.00668450253974),0.1864104159983782,11.00668450253974,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-295f,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Nayéga,"Moov, Togocom",POINT (0.4091616666666667 10.751848333333331),0.4091616666666667,10.751848333333331,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-295e,Savanes,Tône,Tône 1,Dapaong,Togocom,POINT (0.2020216666666666 10.865521666666666),0.2020216666666666,10.865521666666666,Togocom,Intérieur
