prefecture,region_source,grand_lome
Agou,Plateaux,False
Agoè-Nyivé,Maritime,True
Akébou,Plateaux,False
Amou,Plateaux,False
Anié,Plateaux,False
Assoli,Kara,False
Avé,Maritime,False
Bas-Mono,Maritime,False
Bassar,Kara,False
Binah,Kara,False
Blitta,Centrale,False
Cinkassé,Savanes,False
Dankpen,Kara,False
Danyi,Plateaux,False
Doufelgou,Kara,False
Est-Mono,Plateaux,False
Golfe,Maritime,True
Haho,Plateaux,False
Kloto,Plateaux,False
Kozah,Kara,False
Kpendjal,Savanes,False
Kpendjal-Ouest,Savanes,False
Kpélé,Plateaux,False
Kéran,Kara,False
Lacs,Maritime,False
Moyen-Mono,Plateaux,False
Mô,Centrale,False
Ogou,Plateaux,False
Oti,Savanes,False
Oti-Sud,Savanes,False
Sotouboua,Centrale,False
Tandjoaré,Savanes,False
Tchamba,Centrale,False
Tchaoudjo,Centrale,False
Tône,Savanes,False
Vo,Maritime,False
Wawa,Plateaux,False
Yoto,Maritime,False
Zio,Maritime,False
